company,funds_raised_millions,total_laid_off
"Olive AI",856,215
"OLX India",28,250
Omie,26,136
"On Deck",20,72
"On Deck",20,73
OneFootball,442,62
OneFootball,442,150
OneTrust,410,150
OneTrust,926,950
OneWeb,3000,451
Opal,25,20
Opencare,24,18
Opendoor,1900,550
Opendoor,1500,600
Openpay,299,83
OpenWeb,223,14
OpenX,70,35
Oportun,566,155
Optimizely,251,60
OrCam,86,62
Orchard,472,180
Oriente,175,400
"Oscar Health",1300,70
Otonomo,231,80
OutboundEngine,48,52
Outbrain,394,38
Outreach,489,60
Outreach,489,70
Outschool,240,31
Outschool,240,43
Outside,174,87
Overtime,35,30
OwnBackup,507,170
"Oye Rickshaw",13,40
OYO,3200,600
OYO,4000,600
OYO,2400,150
OYO,2400,500
Pacaso,217,100
Packable,472,138
"PACT Pharma",200,94
Pagarbook,17,80
Pagaya,571,140
PaisaBazaar,496,1500
Palantir,3000,75
Pana,11,18
"Panda Squad",1,6
"Parallel Wireless",8,60
Parler,36,60
Parsable,72,40
PartnerStack,36,40
Passport,123,44
PatientPop,75,100
Patreon,413,5
Patreon,165,30
Patreon,165,36
Patreon,413,80
"Pavilion Data",103,96
PayFit,495,200
PayJoy,71,27
PayPal,216,83
PayPal,216,2000
PaySense,26,40
Paytm,2200,500
"Pear Therapeutics",409,59
"Pear Therapeutics",409,25
"Pecan AI",116,30
Peek,39,45
Peerspace,34,41
PeerStreet,110,51
PeerStreet,121,75
Peloton,1900,500
Peloton,1900,784
Peloton,1900,2800
Pendo,469,45
People.ai,100,30
"Perimeter 81",165,20
Perion,76,20
PerkSpot,50,10
Permutive,105,30
Personetics,178,30
PetLove,225,94
PharmEasy,1600,40
PickYourTrail,3,70
"Pico Interactive",62,400
Picsart,195,90
Pier,42,111
Pinterest,1500,150
Pipedrive,90,31
Pipedrive,90,143
Pipl,19,22
Pitch,137,59
Plaid,734,260
Planetly,5,200
Plato,3,29
Playdots,10,65
Pleo,428,150
Pliops,205,12
Plum,20,36
Pluralsight,192,400
"Pocket Aces",19,50
Pocketmath,20,21
Polarr,13,10
PolicyGenius,286,170
Pollen,88,69
Pollen,238,200
Polly,184,47
Polygon,451,100
"Pomelo Fashion",120,55
Postmates,763,180
Postscript,106,43
Preply,100,26
Primer,73,85
Privitar,150,20
Procore,649,180
Project44,817,63
Properly,154,71
Proterra,1200,300
"Protocol Labs",10,89
PuduTech,184,1500
Puppet,149,50
Q4,91,50
Qualtrics,400,270
Quandoo,39,87
"Quanergy Systems",175,72
Quantcast,65,30
