company,funds_raised_millions,percentage_laid_off
Propzy,33,0.5
Propzy,33,1
"Protego Trust Bank",70,0.5
"Protocol Labs",10,0.2
Puppet,189,0.15
Puppet,149,0.1
Purse,1,1
Q4,91,0.08
Qualtrics,400,0.05
Quandoo,39,0.2
Quantcast,65,0.05
Quantcast,65,0.06
Quanterix,533,0.25
Quanto,15,0.22
"Quantum SI",425,0.12
Quibi,1800,1
Quidax,3,0.2
QuintoAndar,335,0.08
QuintoAndar,755,0.04
Qumulo,347,0.19
Qwick,4,0.7
"Rad Power Bikes",329,0.1
"Rad Power Bikes",329,0.14
Rasa,40,0.4
Reach,30,0.12
Reali,117,1
RealSelf,42,0.05
RealSelf,42,0.13
"Rebel Foods",548,0.02
Recharge,277,0.17
Redbubble,55,0.14
RedDoorz,134,0.1
"Redesign Health",315,0.2
Redfin,319,0.07
Redfin,319,0.08
Redfin,320,0.13
Redox,50,0.25
"REE Automotive",317,0.11
Reef,1500,0.05
Relativity,125,0.1
